ID_GEST_DEFA_STOC|ID_GEST_TIP_STOC|ID_GEST_TIP_DOCUM|PREDATOR|ID_GEST_TIP_MATERIAL|SEMN|SEMN_ITEMS|TIPURI_PRODUSE
238|10|NULL|2|-1|1|1|M, P, F, O
239|10|NULL|1|-1|-1|-1|M, P, F, O
240|10|NULL|2|-1|1|1|M, P, F, O
241|10|NULL|1|-1|-1|-1|M, P, F, O
242|10|NULL|1|-1|-1|-1|M, P, F, O
243|10|NULL|1|-1|-1|-1|M, P, F, O
244|10|NULL|1|-1|-1|-1|M, P, F, O
245|10|NULL|2|-1|1|1|M, P, F, O
246|10|NULL|1|-1|1|1|M, P, F, O
247|10|NULL|1|-1|-1|-1|M, P, F, O
248|10|NULL|1|-1|-1|-1|M, P, F, O
249|10|NULL|2|-1|1|-1|M, P, F, O
250|10|NULL|1|-1|-1|-1|M, P, F, O
251|10|NULL|1|-1|-1|-1|M, P, F, O
252|10|NULL|1|-1|-1|-1|M, P, F, O
253|10|NULL|2|-1|-1|-1|M, P, F, O
254|10|NULL|2|-1|1|1|M, P, F, O
255|10|NULL|2|-1|-1|-1|M, P, F, O
256|10|NULL|2|-1|1|1|M, P, F, O
257|11|NULL|1|-1|1|1|M, P, F, O
258|11|NULL|2|-1|1|-1|M, P, F, O
259|11|NULL|1|-1|1|1|M, P, F, O
260|11|NULL|2|-1|1|-1|M, P, F, O
261|11|NULL|1|-1|1|1|M, P, F, O
262|11|NULL|2|-1|-1|-1|M, P, F, O
263|11|NULL|2|-1|1|1|M, P, F, O
264|11|NULL|1|-1|1|1|M, P, F, O
265|11|NULL|2|-1|-1|-1|M, P, F, O
266|11|NULL|1|-1|1|1|M, P, F, O
267|11|NULL|2|-1|1|-1|M, P, F, O
268|11|NULL|1|-1|1|1|M, P, F, O
269|11|NULL|2|-1|1|-1|M, P, F, O
270|11|NULL|1|-1|1|1|M, P, F, O
271|11|NULL|1|-1|1|1|M, P, F, O
272|11|NULL|1|-1|1|1|M, P, F, O
273|11|NULL|2|-1|-1|-1|M, P, F, O
274|11|NULL|1|-1|1|1|M, P, F, O
275|11|NULL|2|-1|-1|-1|M, P, F, O
276|11|NULL|1|-1|1|-1|M, P, F, O
277|11|NULL|1|-1|1|1|M, P, F, O
278|11|NULL|1|-1|1|1|M, P, F, O
279|11|NULL|2|-1|-1|1|M, P, F, O
280|11|NULL|1|-1|1|1|M, P, F, O
281|11|NULL|1|-1|1|1|M, P, F, O
282|11|NULL|1|-1|1|1|M, P, F, O
283|11|NULL|1|-1|-1|-1|M, P, F, O
284|11|NULL|1|-1|1|1|M, P, F, O
285|11|NULL|1|-1|-1|-1|M, P, F, O
286|11|NULL|1|-1|1|1|M, P, F, O
287|12|NULL|1|-1|1|1|M, P, F, O
288|12|NULL|2|-1|1|-1|M, P, F, O
289|12|NULL|1|-1|1|1|M, P, F, O
290|12|NULL|2|-1|1|-1|M, P, F, O
291|12|NULL|1|-1|1|1|M, P, F, O
292|12|NULL|2|-1|-1|-1|M, P, F, O
293|12|NULL|2|-1|1|1|M, P, F, O
294|12|NULL|1|-1|1|1|M, P, F, O
295|12|NULL|2|-1|-1|-1|M, P, F, O
296|12|NULL|1|-1|1|1|M, P, F, O
297|12|NULL|2|-1|1|-1|M, P, F, O
298|12|NULL|1|-1|1|1|M, P, F, O
299|12|NULL|2|-1|1|-1|M, P, F, O
300|12|NULL|1|-1|1|1|M, P, F, O
301|12|NULL|1|-1|1|1|M, P, F, O
302|12|NULL|1|-1|1|1|M, P, F, O
303|12|NULL|2|-1|-1|-1|M, P, F, O
304|12|NULL|1|-1|1|1|M, P, F, O
305|12|NULL|2|-1|-1|-1|M, P, F, O
306|12|NULL|1|-1|1|-1|M, P, F, O
307|12|NULL|1|-1|1|1|M, P, F, O
308|12|NULL|1|-1|1|1|M, P, F, O
309|12|NULL|2|-1|-1|1|M, P, F, O
310|12|NULL|1|-1|1|1|M, P, F, O
311|12|NULL|1|-1|1|1|M, P, F, O
312|12|NULL|1|-1|1|1|M, P, F, O
313|12|NULL|1|-1|-1|-1|M, P, F, O
314|12|NULL|1|-1|1|1|M, P, F, O
